DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT11:Burgenland,2018,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT11:Burgenland,2019,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT11:Burgenland,2020,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT11:Burgenland,2021,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT11:Burgenland,2022,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT12:Niederösterreich,2018,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT12:Niederösterreich,2019,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT12:Niederösterreich,2020,81.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT12:Niederösterreich,2021,80.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT12:Niederösterreich,2022,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT13:Wien,2018,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT13:Wien,2019,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT13:Wien,2020,80.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT13:Wien,2021,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT13:Wien,2022,80.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT2:Südösterreich,2018,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT2:Südösterreich,2019,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT2:Südösterreich,2020,81.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT2:Südösterreich,2021,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT2:Südösterreich,2022,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT21:Kärnten,2018,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT21:Kärnten,2019,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT21:Kärnten,2020,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT21:Kärnten,2021,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT21:Kärnten,2022,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT22:Steiermark,2018,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT22:Steiermark,2019,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT22:Steiermark,2020,81.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT22:Steiermark,2021,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT22:Steiermark,2022,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT3:Westösterreich,2018,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT3:Westösterreich,2019,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT3:Westösterreich,2020,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT3:Westösterreich,2021,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT3:Westösterreich,2022,82.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT31:Oberösterreich,2018,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT31:Oberösterreich,2019,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT31:Oberösterreich,2020,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT31:Oberösterreich,2021,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT31:Oberösterreich,2022,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT32:Salzburg,2018,82.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT32:Salzburg,2019,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT32:Salzburg,2020,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT32:Salzburg,2021,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT32:Salzburg,2022,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT33:Tirol,2018,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT33:Tirol,2019,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT33:Tirol,2020,82.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT33:Tirol,2021,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT33:Tirol,2022,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT34:Vorarlberg,2018,82.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT34:Vorarlberg,2019,83.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT34:Vorarlberg,2020,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT34:Vorarlberg,2021,82.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,AT34:Vorarlberg,2022,82.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE:Belgium,2018,81.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE:Belgium,2019,82.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE:Belgium,2020,80.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE:Belgium,2021,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE:Belgium,2022,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE1:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE1:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE1:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,79.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE1:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE1:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE10:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,81.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE10:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE10:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,79.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE10:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE10:Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,81.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE2:Vlaams Gewest,2018,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE2:Vlaams Gewest,2019,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE2:Vlaams Gewest,2020,82.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE2:Vlaams Gewest,2021,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE2:Vlaams Gewest,2022,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE21:Prov. Antwerpen,2018,82.5,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE21:Prov. Antwerpen,2019,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE21:Prov. Antwerpen,2020,82.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE21:Prov. Antwerpen,2021,82.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE21:Prov. Antwerpen,2022,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE22:Prov. Limburg (BE),2018,83.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE22:Prov. Limburg (BE),2019,83.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE22:Prov. Limburg (BE),2020,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE22:Prov. Limburg (BE),2021,83.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE22:Prov. Limburg (BE),2022,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE23:Prov. Oost-Vlaanderen,2018,82.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE23:Prov. Oost-Vlaanderen,2019,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE23:Prov. Oost-Vlaanderen,2020,81.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE23:Prov. Oost-Vlaanderen,2021,82.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE23:Prov. Oost-Vlaanderen,2022,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE24:Prov. Vlaams-Brabant,2018,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE24:Prov. Vlaams-Brabant,2019,83.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE24:Prov. Vlaams-Brabant,2020,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE24:Prov. Vlaams-Brabant,2021,83.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE24:Prov. Vlaams-Brabant,2022,83.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE25:Prov. West-Vlaanderen,2018,82.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE25:Prov. West-Vlaanderen,2019,83.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE25:Prov. West-Vlaanderen,2020,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE25:Prov. West-Vlaanderen,2021,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE25:Prov. West-Vlaanderen,2022,82.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE3:Région wallonne,2018,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE3:Région wallonne,2019,80.4,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE3:Région wallonne,2020,78.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE3:Région wallonne,2021,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE3:Région wallonne,2022,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE31:Prov. Brabant wallon,2018,82.7,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE31:Prov. Brabant wallon,2019,83.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE31:Prov. Brabant wallon,2020,81.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE31:Prov. Brabant wallon,2021,83.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE31:Prov. Brabant wallon,2022,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE32:Prov. Hainaut,2018,79.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE32:Prov. Hainaut,2019,79.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE32:Prov. Hainaut,2020,78.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE32:Prov. Hainaut,2021,79.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE32:Prov. Hainaut,2022,79.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE33:Prov. Liège,2018,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE33:Prov. Liège,2019,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE33:Prov. Liège,2020,78.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE33:Prov. Liège,2021,80.1,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE33:Prov. Liège,2022,80.0,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE34:Prov. Luxembourg (BE),2018,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE34:Prov. Luxembourg (BE),2019,80.6,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE34:Prov. Luxembourg (BE),2020,79.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE34:Prov. Luxembourg (BE),2021,80.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE34:Prov. Luxembourg (BE),2022,80.2,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE35:Prov. Namur,2018,79.9,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE35:Prov. Namur,2019,80.3,
ESTAT:DEMO_R_MLIFEXP(1.0),04/12/24 23:00:00,A:Annual,YR:Year,T:Total,Y_LT1:Less than 1 year,BE35:Prov. Namur,2020,79.3,
